조건별분석,,,,,,,,,
[검색조건],,,,,,,,,
,분류: 지상,,,,,,,,
"		188",성산,2022-03-14,2.3,8.2,270,22:05,14.5,320,21:13
"		188",성산,2022-03-15,2.7,8.3,290,2:49,12.9,320,2:47
"		188",성산,2022-03-16,1.9,5,180,16:59,7.6,180,16:53
"		188",성산,2022-03-17,3.8,7.5,70,23:16,14.5,50,21:59
"		188",성산,2022-03-18,4.8,10.7,50,5:58,17.9,70,6:09
"		188",성산,2022-03-19,3.8,10.9,270,14:38,16,290,15:39
"		188",성산,2022-03-20,3,5.3,290,1:40,11,90,11:43
"		188",성산,2022-03-21,2.8,5.3,50,10:45,8.5,50,10:10
"		188",성산,2022-03-22,2.8,6.9,140,11:25,11.7,160,10:34
"		188",성산,2022-03-23,2.2,4.9,290,22:22,7.4,160,12:41
"		188",성산,2022-03-24,2.5,4.4,290,2:28,9.1,320,3:11
"		188",성산,2022-03-25,5.9,11.9,160,22:36,19.4,180,23:54
"		188",성산,2022-03-26,6.6,13.3,290,14:52,20.6,290,14:40
"		188",성산,2022-03-27,4.3,11.1,320,3:12,16.9,320,3:05
"		188",성산,2022-03-28,3.6,5.6,20,14:23,11.5,270,0:18
"		188",성산,2022-03-29,2.5,4.4,90,16:04,6.5,90,16:08
"		188",성산,2022-03-30,1.7,3.8,200,17:25,6,200,16:59
"		188",성산,2022-03-31,3.4,7.1,290,5:11,12.6,320,23:14
"		188",성산,2022-04-01,3.3,6.7,50,0:01,10.5,320,0:09
"		188",성산,2022-04-02,2.6,5.4,20,15:38,8.7,320,23:57
"		188",성산,2022-04-03,3,5.2,50,15:42,8.8,290,2:53
"		188",성산,2022-04-04,2.5,5.2,90,13:52,7.5,90,13:46
"		188",성산,2022-04-05,1.9,4.5,200,11:45,6.7,180,11:08
"		188",성산,2022-04-06,2,5,230,10:36,6.7,200,10:35
"		188",성산,2022-04-07,2.7,5.4,290,17:39,10.5,320,8:02
"		188",성산,2022-04-08,2.3,4.8,140,10:14,7.2,90,11:23
"		188",성산,2022-04-09,4.3,7.8,200,13:21,11.3,200,13:17
"		188",성산,2022-04-10,3.2,6.7,200,11:28,9.9,200,9:10
"		188",성산,2022-04-11,2.2,3.9,140,11:46,6.5,160,2:34
"		188",성산,2022-04-12,2.7,6.2,230,16:02,8.7,230,15:57
"		188",성산,2022-04-13,3.4,6.9,70,23:26,11.8,70,23:12
"		188",성산,2022-04-14,5.4,8.1,70,1:19,13.5,50,11:30
"		188",성산,2022-04-15,3.9,6.2,50,12:29,14,320,18:22
"		188",성산,2022-04-16,2.9,4.9,70,14:03,10.5,290,0:51
"		188",성산,2022-04-17,3.2,5.9,290,16:50,9.7,70,10:18
"		188",성산,2022-04-18,2.3,4.6,320,4:29,7.3,320,21:22
"		188",성산,2022-04-19,2.6,5,290,1:15,7.6,70,13:40
"		188",성산,2022-04-20,1.8,4,290,2:29,5.5,320,1:24
"		188",성산,2022-04-21,2.4,4.4,250,7:33,7.2,250,7:42
"		188",성산,2022-04-22,4,7.3,230,12:34,11.2,230,12:06
"		188",성산,2022-04-23,1.6,3.5,20,8:35,7.2,20,5:44
"		188",성산,2022-04-24,1.9,4.9,20,8:49,7.1,50,8:15
"		188",성산,2022-04-25,2.9,9.8,180,22:40,14.1,200,23:05
"		188",성산,2022-04-26,4.6,9.7,200,1:49,15.5,230,2:14
"		188",성산,2022-04-27,3.3,8.6,290,2:55,12.9,290,2:58
"		188",성산,2022-04-28,3,5.4,70,10:25,8.8,50,10:26
"		188",성산,2022-04-29,3.6,7.1,50,3:18,12.6,20,3:36
"		188",성산,2022-04-30,2.9,5.5,50,16:14,9.7,50,15:53
"		188",성산,2022-05-01,3.9,6.8,290,15:16,12.7,290,17:17
"		188",성산,2022-05-02,4.1,7.4,290,10:00,12.1,320,9:53
"		188",성산,2022-05-03,2.5,4.4,70,4:47,7.2,290,2:28
"		188",성산,2022-05-04,3.2,5.9,180,10:56,8.4,200,11:44
"		188",성산,2022-05-05,1.8,4.3,110,14:53,5.7,110,15:04
"		188",성산,2022-05-06,2,4.7,110,13:38,5.9,90,11:10
"		188",성산,2022-05-07,2.7,6.6,320,23:53,9.5,320,16:21
"		188",성산,2022-05-08,2.9,5.5,290,0:01,8.1,90,11:13
"		188",성산,2022-05-09,3.6,6.3,70,10:55,10.2,50,15:34
"		188",성산,2022-05-10,3,4.5,50,7:23,8.4,50,0:01
"		188",성산,2022-05-11,2.1,3.6,50,16:21,5.6,200,16:04
"		188",성산,2022-05-12,2.5,4.5,110,14:41,8.2,230,14:34
"		188",성산,2022-05-13,2.4,7.1,290,22:36,11.2,290,22:53
"		188",성산,2022-05-14,3.6,6.2,270,17:15,10.9,270,17:09
"		188",성산,2022-05-15,3.5,6,290,17:19,11.2,230,9:20
"		188",성산,2022-05-16,2.7,5.7,290,3:00,10.2,290,2:51
"		188",성산,2022-05-17,2.3,5.5,200,15:18,7.8,180,15:10
"		188",성산,2022-05-18,1.8,4.6,200,16:39,7.5,200,16:35
"		188",성산,2022-05-19,1.7,4.6,180,11:54,6.1,200,12:35
"		188",성산,2022-05-20,2.1,4.6,110,14:14,6.3,110,14:12
"		188",성산,2022-05-21,2.6,5.6,290,17:37,10.7,70,9:54
"		188",성산,2022-05-22,2.3,5.3,290,1:32,8.7,320,1:30
"		188",성산,2022-05-23,1.8,5.8,180,12:52,8.1,180,12:52
"		188",성산,2022-05-24,2.1,4.3,230,13:04,6.6,270,9:11
"		188",성산,2022-05-25,2.4,6.1,180,13:37,8.4,180,13:20
"		188",성산,2022-05-26,2.5,5.3,290,6:56,9.5,290,6:50
"		188",성산,2022-05-27,2.9,8.5,290,15:50,13.6,290,15:30
"		188",성산,2022-05-28,3,7,200,12:56,9.9,230,13:48
"		188",성산,2022-05-29,3.4,6.5,110,18:03,9.2,140,17:49
"		188",성산,2022-05-30,2.1,7,290,21:50,11.8,320,21:47
"		188",성산,2022-05-31,2.3,5.6,290,2:34,9,160,8:45
"		188",성산,2022-06-01,2.2,5.2,180,17:37,6.9,160,17:35
"		188",성산,2022-06-02,2.1,5.8,180,14:40,8.7,200,15:37
"		188",성산,2022-06-03,1.8,4.1,110,16:30,5.4,110,16:22
"		188",성산,2022-06-04,2.9,4.7,90,13:03,6.7,110,12:23
"		188",성산,2022-06-05,5.3,9.7,90,12:46,15.1,70,19:58
"		188",성산,2022-06-06,3.9,7.7,290,10:37,13.6,320,15:53
"		188",성산,2022-06-07,4.1,7,140,10:54,9.2,140,14:01
"		188",성산,2022-06-08,3.4,5.5,90,13:20,8.3,50,1:36
"		188",성산,2022-06-09,2.5,4.6,110,14:07,7.1,90,9:09
"		188",성산,2022-06-10,1.7,4.6,200,22:52,8.6,180,22:45
"		188",성산,2022-06-11,3.2,6,50,10:07,10.2,50,13:33
"		188",성산,2022-06-12,3.1,5.6,70,10:24,9.9,50,10:18
"		188",성산,2022-06-13,4.4,7.3,90,15:38,10.8,90,15:44
"		188",성산,2022-06-14,3.7,6.3,70,3:10,11.7,50,2:58
"		188",성산,2022-06-15,2.8,6,230,11:06,8.8,230,11:11
"		188",성산,2022-06-16,2.8,5.2,200,21:21,7.2,230,20:32
"		188",성산,2022-06-17,3.1,5.1,230,4:59,7,200,19:10
"		188",성산,2022-06-18,2.5,6.8,230,16:44,9.9,230,16:20
"		188",성산,2022-06-19,1.5,2.9,140,11:13,5,250,3:16
"		188",성산,2022-06-20,1.3,3.3,50,10:17,5.3,50,8:55
"		188",성산,2022-06-21,2.7,5.1,20,9:54,8.8,20,9:51
"		188",성산,2022-06-22,3.1,5.7,200,9:29,7.9,230,8:52
"		188",성산,2022-06-23,5.3,9.1,230,18:16,15.1,230,18:11
"		188",성산,2022-06-24,4.5,9.2,250,1:38,14.5,250,1:15
"		188",성산,2022-06-25,4.4,7.3,200,12:49,12.6,250,6:14
"		188",성산,2022-06-26,4.1,7.9,200,11:19,12.9,230,7:41
"		188",성산,2022-06-27,4.3,8.4,200,13:05,13.4,180,13:22
"		188",성산,2022-06-28,5.8,10.7,200,21:30,16.7,200,23:49
"		188",성산,2022-06-29,5.2,9.7,200,1:13,15.1,200,1:11
"		188",성산,2022-06-30,3.4,6.3,200,12:02,8.8,200,11:52
"		188",성산,2022-07-01,2.2,5.6,200,11:52,7.8,180,12:03
"		188",성산,2022-07-02,1.7,4.3,70,13:09,6.6,50,13:00
"		188",성산,2022-07-03,1.9,6.8,110,14:57,9.4,110,14:50
"		188",성산,2022-07-04,2.9,5.3,90,12:37,7.8,90,12:29
"		188",성산,2022-07-05,2.3,5,180,17:09,7,200,17:06
"		188",성산,2022-07-06,3.3,5.2,180,15:56,7.8,230,9:02
"		188",성산,2022-07-07,4.2,7.5,200,10:34,11.3,180,13:20
"		188",성산,2022-07-08,3.2,6.3,230,8:20,9.4,200,2:51
"		188",성산,2022-07-09,2.3,5.7,290,11:02,9.8,270,10:54
"		188",성산,2022-07-10,2,3.8,180,13:03,5.6,160,12:54
"		188",성산,2022-07-11,2,4.8,180,13:34,8,320,4:45
"		188",성산,2022-07-12,2.8,5.5,110,21:12,7.7,110,16:00
"		188",성산,2022-07-13,4,6.4,230,17:32,10.1,230,17:28
"		188",성산,2022-07-14,3,7.4,230,6:37,10.7,250,6:10
"		188",성산,2022-07-15,1.8,4.4,290,22:25,8.1,270,23:20
"		188",성산,2022-07-16,3.2,8.2,320,5:00,11.1,320,5:00
"		188",성산,2022-07-17,2.2,5.2,140,23:04,10.2,180,22:18
"		188",성산,2022-07-18,4.7,8,230,8:59,14.4,230,8:32
"		188",성산,2022-07-19,2.6,5.9,290,11:41,11.6,290,7:27
"		188",성산,2022-07-20,2.4,4.7,110,11:31,6.4,110,11:28
"		188",성산,2022-07-21,4.5,10.4,320,17:13,16.6,290,12:08
"		188",성산,2022-07-22,2.5,5.6,290,10:20,9.2,290,10:13
"		188",성산,2022-07-23,2.7,5.7,180,23:56,7.8,230,19:52
"		188",성산,2022-07-24,2.6,5.7,200,3:54,10.6,230,4:18
"		188",성산,2022-07-25,2.3,4,320,0:06,6,200,10:51
"		188",성산,2022-07-26,1.7,4.2,110,15:45,5.3,90,12:32
"		188",성산,2022-07-27,2.6,4.5,110,12:24,6.6,110,11:31
"		188",성산,2022-07-28,2.6,4.5,110,23:18,6.4,160,15:21
"		188",성산,2022-07-29,3.2,5.5,50,15:17,9.7,70,13:37
"		188",성산,2022-07-30,5,9.1,110,23:48,12.7,110,23:35
"		188",성산,2022-07-31,6.6,11.7,160,15:37,18.1,140,15:23
"		188",성산,2022-08-01,5.5,10.8,140,10:32,15.8,160,10:52
"		188",성산,2022-08-02,4,6.8,200,12:24,9.5,200,12:41
"		188",성산,2022-08-03,3.2,6.5,200,14:26,8.6,180,14:44
"		188",성산,2022-08-04,1.9,4.6,200,11:27,7.7,230,11:54
"		188",성산,2022-08-05,3.1,6.3,250,15:49,10.2,230,15:28
"		188",성산,2022-08-06,2.5,5.5,230,12:02,8.3,230,11:57
"		188",성산,2022-08-07,4,7.5,230,16:44,12,230,16:45
"		188",성산,2022-08-08,5.2,8.9,230,13:44,13.3,230,13:52
"		188",성산,2022-08-09,4.2,6.9,230,11:41,11.1,230,10:16
"		188",성산,2022-08-10,4.1,7,200,10:25,10.2,200,10:21
"		188",성산,2022-08-11,4.8,9,230,13:40,13.6,230,13:43
"		188",성산,2022-08-12,2.9,5.9,200,1:55,9.6,250,5:06
"		188",성산,2022-08-13,3.7,7.4,230,14:09,11.5,250,14:08
"		188",성산,2022-08-14,5.2,7.7,230,15:31,12.2,230,13:20
"		188",성산,2022-08-15,6.1,9.3,230,14:13,14.2,200,14:13
"		188",성산,2022-08-16,6.1,9,230,8:39,14.1,250,7:54
"		188",성산,2022-08-17,2.5,9.9,270,2:33,15.1,270,2:32
"		188",성산,2022-08-18,2.2,4.1,270,0:37,7.2,320,0:32
"		188",성산,2022-08-19,4.2,8.8,230,12:25,13.2,230,14:29
"		188",성산,2022-08-20,3.1,6.6,230,1:24,10.5,250,1:23
"		188",성산,2022-08-21,2.3,4.8,70,12:15,8.2,50,14:40
"		188",성산,2022-08-22,1.9,4,110,11:18,6,110,10:34
"		188",성산,2022-08-23,2.2,4.7,180,15:17,7.7,180,15:42
"		188",성산,2022-08-24,2.5,5.2,50,17:43,8.7,290,11:16
"		188",성산,2022-08-25,3,5.4,200,14:33,8.3,320,10:43
"		188",성산,2022-08-26,2.3,4.3,320,0:36,7.3,340,11:44
"		188",성산,2022-08-27,2.1,4.3,90,12:10,9.3,50,12:05
"		188",성산,2022-08-28,3.4,5.9,50,10:38,10.5,50,11:49
"		188",성산,2022-08-29,2.5,5.3,70,13:36,8.6,50,9:00
"		188",성산,2022-08-30,2.3,5.2,200,14:09,7.6,250,12:27
"		188",성산,2022-08-31,2.5,6.6,290,7:04,11.2,200,11:01
"		188",성산,2022-09-01,3.6,5.5,20,18:22,9.2,20,14:02
"		188",성산,2022-09-02,4.7,7.7,70,11:31,12.9,110,10:05
"		188",성산,2022-09-03,5.4,8.9,110,12:47,12.2,110,12:48
"		188",성산,2022-09-04,3.6,9.6,160,17:48,17.3,160,17:44
"		188",성산,2022-09-05,9.7,17.1,110,21:21,25,140,21:16
"		188",성산,2022-09-06,6.6,18.2,290,1:58,28.4,290,2:53
"		188",성산,2022-09-07,2.5,4.6,50,11:06,7.6,20,13:49
"		188",성산,2022-09-08,2.6,5.1,50,12:46,7.9,50,15:14
"		188",성산,2022-09-09,3.3,5.1,50,10:37,9.1,70,23:56
"		188",성산,2022-09-10,4.5,6.6,70,13:23,11.4,70,19:57
"		188",성산,2022-09-11,3.1,5.6,70,1:05,9.1,70,0:15
"		188",성산,2022-09-12,3,4.6,20,22:00,7.9,50,8:01
"		188",성산,2022-09-13,4.5,7.4,70,20:29,13.6,70,20:29
"		188",성산,2022-09-14,5.5,7.3,90,23:26,12.4,90,6:37
"		188",성산,2022-09-15,5.8,7.7,90,7:41,12,90,3:04
"		188",성산,2022-09-16,2.4,7.3,110,0:31,9.9,110,0:13
"		188",성산,2022-09-17,3.8,5.9,70,23:44,9.9,50,11:15
"		188",성산,2022-09-18,5.5,8.7,50,20:11,14.6,20,11:10
"		188",성산,2022-09-19,6.2,9.7,290,7:32,19.5,320,13:48
"		188",성산,2022-09-20,3.9,6.6,70,8:37,15.2,320,0:58
"		188",성산,2022-09-21,4.1,5.8,70,9:16,12,50,9:22
"		188",성산,2022-09-22,3.2,5.6,70,11:12,8.9,70,11:03
"		188",성산,2022-09-23,2.6,5.7,270,12:20,10.9,270,15:43
"		188",성산,2022-09-24,3.5,7.6,20,12:19,12.3,50,9:16
"		188",성산,2022-09-25,2.4,4.6,50,12:50,7.7,50,13:07
"		188",성산,2022-09-26,2.1,4.9,20,10:32,7.8,70,15:27
"		188",성산,2022-09-27,2.2,4.8,50,12:51,8.7,50,12:57
"		188",성산,2022-09-28,2.2,4.5,50,11:16,6.9,50,11:43
"		188",성산,2022-09-29,1.8,3.9,290,19:38,7.1,360,13:42
"		188",성산,2022-09-30,2,4.6,110,12:57,6.3,110,12:54
"		188",성산,2022-10-01,1.9,4.5,110,12:14,6,110,12:02
"		188",성산,2022-10-02,2.9,5.5,200,17:01,7.8,200,17:43
"		188",성산,2022-10-03,4.7,7.2,200,11:05,10.8,200,13:11
"		188",성산,2022-10-04,4.6,8,230,3:30,15.4,290,16:45
"		188",성산,2022-10-05,3.4,6.8,290,0:46,12.9,200,12:13
"		188",성산,2022-10-06,2.8,6.1,270,0:57,10.4,320,3:03
"		188",성산,2022-10-07,3.3,6.1,290,16:29,12.3,270,13:30
"		188",성산,2022-10-08,4.1,6.7,110,22:46,12.2,50,17:47
"		188",성산,2022-10-09,3.3,7.2,290,22:43,14.1,320,22:40
"		188",성산,2022-10-10,4.1,8.2,270,9:53,12.5,320,11:34
"		188",성산,2022-10-11,3.4,5.8,290,15:03,13.7,320,4:22
"		188",성산,2022-10-12,3.3,5.8,50,19:32,10.7,50,20:04
"		188",성산,2022-10-13,4.8,7.6,50,12:59,12.5,20,9:54
"		188",성산,2022-10-14,3.3,5.1,50,0:30,9.3,50,10:31
"		188",성산,2022-10-15,2.9,6.2,50,9:25,9.3,20,9:19
"		188",성산,2022-10-16,2.9,5.5,290,22:15,9.5,290,20:00
"		188",성산,2022-10-17,4.5,8.2,230,13:55,18.7,320,14:16
"		188",성산,2022-10-18,4.1,9.1,90,8:56,15.8,70,8:53
"		188",성산,2022-10-19,3.1,5.9,340,12:18,11.9,50,9:30
"		188",성산,2022-10-20,2.5,4.7,70,11:10,7.5,90,11:03
"		188",성산,2022-10-21,1.9,3.8,50,9:37,6.8,20,9:15
"		188",성산,2022-10-22,2.5,5.2,290,23:25,8.9,270,23:44
"		188",성산,2022-10-23,4,9.3,270,15:27,16.2,290,14:23
"		188",성산,2022-10-24,3.9,7.3,270,13:37,15.3,290,13:35
"		188",성산,2022-10-25,3,6.4,50,9:25,11.2,50,9:17
"		188",성산,2022-10-26,3.1,5.8,70,11:18,9.9,50,1:59
"		188",성산,2022-10-27,2.1,4.1,20,10:19,6.4,20,10:37
"		188",성산,2022-10-28,2.4,4.8,50,15:58,7.8,70,9:56
"		188",성산,2022-10-29,3.9,6.2,70,13:38,10.7,70,13:33
"		188",성산,2022-10-30,4.6,6.8,50,17:18,11.3,50,11:14
"		188",성산,2022-10-31,4.5,7,50,10:36,11.8,70,0:55
"		188",성산,2022-11-01,2.9,6.7,50,11:29,10.1,70,13:17
"		188",성산,2022-11-02,2.7,4.9,20,12:36,8.5,270,0:53
"		188",성산,2022-11-03,2.6,5.3,320,3:08,8.4,290,23:01
"		188",성산,2022-11-04,4.3,8.6,290,12:55,15.4,290,14:17
"		188",성산,2022-11-05,3.3,7.5,290,14:58,13.5,320,14:52
"		188",성산,2022-11-06,2.7,5.2,50,10:07,9,70,13:29
"		188",성산,2022-11-07,2.4,4.2,320,1:30,7.4,70,12:19
"		188",성산,2022-11-08,2.1,4.5,70,9:34,7.4,180,9:37
"		188",성산,2022-11-09,1.7,3.2,90,11:01,5,70,10:12
"		188",성산,2022-11-10,2.1,5.4,90,19:23,8.7,110,19:16
"		188",성산,2022-11-11,3.6,5.8,110,11:58,8,90,10:47
"		188",성산,2022-11-12,4.3,7.2,230,18:44,13.5,180,18:35
"		188",성산,2022-11-13,5.2,10.4,270,8:34,19.8,270,9:50
"		188",성산,2022-11-14,3.4,7.1,270,16:53,13.4,320,16:54
"		188",성산,2022-11-15,3,5.4,50,11:52,10.4,290,15:17
"		188",성산,2022-11-16,2.2,5.3,290,6:44,7.6,290,7:09
"		188",성산,2022-11-17,2.1,4.1,70,10:32,7.9,50,24:00:00
"		188",성산,2022-11-18,3.8,6,70,11:23,12,50,13:16
"		188",성산,2022-11-19,4.1,6.6,70,7:35,12.2,70,6:52
"		188",성산,2022-11-20,3.1,4.5,50,5:52,7.8,70,20:37
"		188",성산,2022-11-21,2.3,3.8,50,14:14,6.5,70,13:29
"		188",성산,2022-11-22,2.7,5.9,110,13:20,10.3,50,19:02
"		188",성산,2022-11-23,3.3,6.4,250,12:14,14.1,320,12:15
"		188",성산,2022-11-24,2.6,7.1,290,0:17,10.9,290,0:29
"		188",성산,2022-11-25,2.4,4.6,290,22:25,6.7,180,14:38
"		188",성산,2022-11-26,2.8,5.5,20,11:28,10.6,320,13:01
"		188",성산,2022-11-27,2.4,4.8,140,23:12,7.5,140,23:12
"		188",성산,2022-11-28,4.5,8,160,23:05,14.3,160,23:02
"		188",성산,2022-11-29,4.3,8.3,270,16:28,17.8,270,16:25
"		188",성산,2022-11-30,4.9,8.1,90,15:57,16.6,70,6:09
"		188",성산,2022-12-01,2.9,6.8,90,12:00,12,90,1:52
"		188",성산,2022-12-02,2.3,5.1,20,10:22,8.2,180,10:45
"		188",성산,2022-12-03,2.2,4.2,20,9:31,7.9,20,23:37
"		188",성산,2022-12-04,3.6,6.3,90,5:23,11.6,20,5:21
"		188",성산,2022-12-05,3.9,6.9,290,15:09,14.6,290,14:54
"		188",성산,2022-12-06,2.7,7.5,270,11:34,12.9,290,11:24
"		188",성산,2022-12-07,2.7,7,290,12:41,11.3,290,15:00
"		188",성산,2022-12-08,2.3,5.2,50,11:36,8.1,20,11:33
"		188",성산,2022-12-09,1.9,3.5,90,16:27,5.1,50,14:04
"		188",성산,2022-12-10,2.4,5.1,290,22:59,8.8,270,23:53
"		188",성산,2022-12-11,3,7.7,90,10:53,13.6,50,9:58
"		188",성산,2022-12-12,3.7,10.9,290,14:24,16.3,320,14:54
"		188",성산,2022-12-13,3.9,8.6,290,21:23,14.2,320,22:07
"		188",성산,2022-12-14,3.2,8.5,320,4:36,14.5,270,4:04
"		188",성산,2022-12-15,2.1,5,290,1:13,7,320,1:05
"		188",성산,2022-12-16,3.2,6,250,15:44,13.7,320,15:54
"		188",성산,2022-12-17,4.1,11.2,270,21:18,17.6,320,21:12
"		188",성산,2022-12-18,4.9,10.2,270,3:14,18.2,290,2:24
"		188",성산,2022-12-19,2,4.8,50,13:43,8.5,290,12:26
"		188",성산,2022-12-20,2.6,6.9,160,21:46,9.9,160,21:31
"		188",성산,2022-12-21,2.6,7,270,18:59,11,320,18:41
"		188",성산,2022-12-22,3.5,8.3,290,23:38,17.1,320,23:32
"		188",성산,2022-12-23,4.9,8.1,270,6:10,16.1,270,22:04
"		188",성산,2022-12-24,3.6,6.8,290,1:41,13.1,320,2:59
"		188",성산,2022-12-25,3.4,5.7,250,12:49,12.9,290,11:13
"		188",성산,2022-12-26,2.5,5.6,90,13:43,12.6,70,12:47
"		188",성산,2022-12-27,2.9,6.1,290,12:54,10.5,360,10:25
"		188",성산,2022-12-28,2.9,5.1,160,9:55,11.9,320,13:02
"		188",성산,2022-12-29,2.4,6.1,90,11:28,11,360,11:06
